,input,actual,predicted
1382,"szu ba-ti
","receive 
","received
"
1383,"{d}szul-gi-iri-mu sukkal
","ulgiirimu courrier
","ulgiirimu
"
1384,"... x sze
","are here 
","barley
"
1385,"ur-sag kal-ga
","the mighty warrior
","the mighty warrior
"
1386,"...-du10-ga-ta
","After beer was drunk and kurun liquor was enjoyed 
","lancet
"
1387,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
1388,"la2-ia3 2/3(disz) ma-na 7(disz) 1/2(disz) gin2 1(u) 7(disz) sze ku3
","the deficit 23 mana 7 12 shekels 17 grains silver 
","the deficit 23 mana 7 12 shekels 1 grains silver
"
1389,"mu e2 {d}szara2 ba-du3
","year The house of ara was erected uSuen 9 
","year The house of ara was erected
"
1390,"ARAD2 su-mu-el3
","servant of SmEl 
","servant of SmEl
"
1391,"ha-mu-na-tu-ru-ne2-sza-am3
","may they become ill for him
","lancet
"
1392,"dingir-ra-ka
","Dingira 
","Dingira
"
1393,"3(disz) gin2 i3 2(disz) gin2 naga
","3 shekels oil 2 shekels alkali 
","3 shekels oil 2 shekels alkaliplant
"
1394,"szunigin 1/2(disz) ma-na n gin2 ku3-babbar
","total 12 mana 2 shekels silver 
","total 12 mana n shekels silver
"
1395,"1(gesz2) sila3-am3 he2-ni-ge-en
","and as 6 sila3 I standardized it
","and as 6 sila3 I standardized it
"
1396,"{gesz}gilim an-na
","upper foliage 
","a type of foliage
"
1397,"dumu gu-ni-DU
","son of GuniDU 
","son of GuniDU
"
1398,"ama-mu ma-mu-mu ga-na-de6
","Let me bring my dream to my mother 
","Let me bring my dream to her to my mother
"
1399,"masz2 giggi nesag en-na-ta
","With a black kid and the nesag offering of the lord 
","black billy goats that grinds down the city
"
1400,"gu2 an-da-an-bar-esz-a
","which had acted hostile to him
","5929 nails of willow
"
1401,"{na4}za-gin3 in-tuku
","The one who has possessed lapis 
","The one who has possessed silver
"
1402,"lugal uri5{ki}
","the king of Ur 
","king of Ur
"
1403,"n ...
","it has  
","it has
"
1404,"ki-a tak4-a-ba
","that were left there 
","5929 nails of willow
"
1405,"sipa na-gab2-tum
","shepherds of nagabtum 
","herdsman of the Nakabtum
"
1406,"{gesz}szinig {gesz}szeg9-AN u3-du2-da-ta
","while with brooms of tamarisk and 
","Seven times mix milled barley on the back of the mortar
"
1407,"3(disz) udu u2
","3 sheep grassfed 
","3 sheep grassfed
"
1408,"an-ur2 an-pa nin gal-bi-im
","Who is the great queen of the horizon and zenith ie the whole of heaven 
","In the horizon
"
1409,"e2 iri ku3-ga-ka-ni
","her temple of the Holy City 
","her temple of the Holy City
"
1410,"szunigin 2(gesz2) 4(u) 1(barig) 5(ban2) gur
","total 16 gur 1 barig 5 ban2
","total 167 gur 1 barig 5 ban2
"
1411,"szu ba-ti
","receive 
","received
"
1412,"{d}inanna-ke4
","of Inanna
","of Inanna
"
1413,"ga-kad4{muszen}
","the gakad bird
","lancet
"
1414,"... x im-mi-du3
"," I built there 
","and I rebuilt them in a grand fashion
"
1415,"lugal kal-ga
","strong king 
","strong king
"
1416,"sig-ta igi-nim-sze3 ...
","and from the south to the uplands  
","from the south as far as the highlands did
"
1417,"gesz-gi4-...
","It is the gegigal response 
","lancet
"
1418,"2(u) gesz-gid2-da la2-a
","2 punting poles the deficit 
","2 punting pole deficit
"
1419,"szir3 du11-du11 unu{ki}-ga imin-me-esz
","The song performers of Unug are seven 
","song of the cargo boat
"
1420,"ur-{d}lamma-ra gesz2-da-am3 x ...
","Forthat of UrLamma  is sixty  
","Forthat of UrLamma the lamma protective deity fromat remotely the platform
"
1421,"nam-ti
","for the life of
","for the life
"
1422,"{d}en-lil2-la
","To Enlil 
","For Enlil
"
1423,"1(disz) ad-da 1(asz) 2(barig) gur
","1 Adda 1 gur 2 barig 
","1 gur 2 barig
"
1424,"x x x-a{ki}-ta
","From  
","Assorted
"
1425,"mu gu-un-da lu2 hu-ur5-ti{ki}-sze3
","on account of Gunda the Hurtian 
","The accusatory finger was there pointing behind him
"
1426,"ab-ba-gi-na u3 szesz-a-ni
","Abbagina and eani 
","and Abbagina
"
1427,"su-la2 LAK264
","dried cut of fallow deer 
","dried cut of a fallow deer
"
1428,"mu-na-gub
","he had it set up 
","he set it this door socket up
"
1429,"sze gesz-e3-a-bi
","its threshed barley 
","barley allocations
"
1430,"lugal ki-en-gi ki-uri
","and king of Sumer and Akkad 
","and king of Sumer and Akkad
"
1431,"tir ki-sur-ra adab{ki} i3-dab5
","the KisuraofAdabwoods took in charge 
","the Borderwoods took in charge
"
1432,"ukken-e nu-silig dugud-bi muru9-gin7 ugu-gu10 ...
","In the assemblythe assembly unceasingly heavily like a rain cloud rains my sins upon me 
","The smiter of the evil rushes
"
1433,"1(barig) 1(ban2) 5(disz) sila3 ga-UD@g
","1 barig 1 ban2 5 sila3 kak cheese 
","1 barig 1 ban2 5 sila3 kak cheese
"
1434,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
1435,"kiszib3 dab-ba
","sealed documents  
","xxx
"
1436,"u3-mu-un {d}am-an-ki uru2-zu uru2-ze2-eb gul-la a-ba-a igi mu-ni-in-du8
","Lord Enki who has seen a destruction like that of your city Eridu 
","Lord Enki who has ever seen such a destruction as that of your city Eridu
"
1437,"... x-ga2-ga2
","Their lament was the lament of the parents of Enlil 
","Thinheadeddeprecating man stupid of mind
"
1438,"ARAD2-zu
","is your servant 
","is your servant
"
1439,"b. 1(disz) ninda 3(disz) kusz3
","1 ninda 3 cubits
","1 ninda 3 cubits
"
1440,"x du11-ga a-a-ni-ta
"," through her father 
","The deliberations of the elders and juniors before the utterance
"
1441,"sze-bi 1(u) 8(asz) 4(barig) 3(ban2) 6(disz) sila3 gur
","its barley 18 gur 4 barig 3 ban2 6 sila3
","its barley 18 gur 4 barig 3 ban2 6 sila3
"
1442,"i3-gal2
","xxx 
","are here
"
1443,"{d}la-qi2-bu-um
","One Urgepar  
","lancet
"
1444,"4(u) la2 3(asz) ur-{d}nin-pirig
","37 for UrNinpirig
","47 less 3 garments guzzaf regular quality
"
1445,"iti e2-iti-6(disz)-ta
","from the month Housemonth6 
","month Flight
"
1446,"5(disz) gurusz ugula lugal-mu-ma-ag2
","5 male laborers overseer Lugalmumag 
","5 male laborers foreman Lugalmumag
"
1447,"AN gir2 |NAGAxDISZ|
"," knife for cutting potash 
","knife for cutting potash
"
1448,"2(disz) u8
","2 ewes 
","2 ewes
"
1449,"3(disz) x {d}x-x
","3  for  
","3 mana wool for
"
1450,"lu2 sze lugal-mu in-nu
","That man is not my king 
","Did you see the man who has not previously been the case
"
1451,"... e NE ...
"," without you Utu no king is 
","22 men Alalum
"
1452,"... nin-u6-e
"," for Ninue 
","Thinheadeddeprecating man stupid of mind
"
1453,"kin2 sa6-ga ugunu tag-ga-gu10-sze3
","Beautiful work occurred on behalf of my adornment 
","The good utteredchosen own
"
1454,"en ki-ag2
","beloved en priest 
","and beloved enpriest
"
1455,"1(bur3) 2(iku)
","1 bur3 2 iku 
","1 bur3 2 iku field
"
1456,"{d}szul-gi
","ulgi 
","ulgi
"
1457,"...-x KA mu-e-da-ra-ah mi-x-ib2-sar-sar-re-ne
","You may be able to croakchew when you stand in the plain but they will chase you away 
","The accusatory finger was there pointing behind him
"
1458,"e2-esz3-me-dagal-la
","the Eemedagala
","lancet
"
1459,"iti min3-esz3
","month mine 
","month mine
"
1460,"sig4 zi e2-ninnu ga-nam-me-am3
","that is surely the righteous brick of Eninnu 
","it is surely keep the brick of Eninnu
"
1461,"igi musz-husz igi lu2-ulu3 musz-husz
","The dragonface is the dragonface of a man 
","The dragonface is the dragonface of a man
"
1462,"{d}nin-hur-sag-ra
","Ninursaga 
","For Ninursaga
"
1463,"... {d}{+asz}asz7-gi4-gin7 rib-... szi-in-...
","Has any mother given birth to anything as surpassing as its hero Agi 
","In order to ameliorate the rage to attend to the anger
"
1464,"kur-ta e4-da
","from the mountain descended
","from the mountain descended
"
1465,"men ku3-ga gal-bi tum2-ma
","most suited for the holy crown 
","fit for the holy crown
"
1466,"6(gesz2) 4(u) 6(asz) ninda
","and 46 loaves of bread 
","46 bread
"
1467,"... ki ag2 di i3-ku5-de3 ... ma-an-du11 ...
","The one who renders judgements in the Eanna the house beloved by An I will not let you go she said to me  
","he will issue the beloved
"
1468,"ur-{d}isztaran
","for UrItaran 
","UrItaran
"
1469,"{u2}...-dehi3
","a thorny weed
","lancet
"
1470,"1(disz) amar gu4 ga
","1 suckling bull calf 
","1 suckling bull calf
"
1471,"szu ba-ti
","received 
","received
"
1472,"dumu tu-da
","son born 
","son begotten
"
1473,"ur-{d}nansze dumu lu2-du10-ga
","UrNane son of Luduga 
","87 gur 1 barig salt
"
1474,"lu2-kal-la ka-guru7
","Lukalla chief of the silo 
","xxx
"
1475,"lugal ki-en-gi ki-uri-ke4
","the king of Sumer and Akkad 
","and king of Sumer and Akkad
"
1476,"ki {d}utu-gin7 dalla-a-ga2
","place of my sunlike shining 
","Like Utu broadening the daylight upon the settlements
"
1477,"{gesz}apin-zu gu ha-...
","Your plow should be markedaligned 
","LuItaran
"
1478,"sar-ra-bi ...
","Its  
","The written document of this case
"
1479,"i3-gal2
","are here 
","are here
"
1480,"a2-bi u4 2(szar2) 1(gesz'u) gurusz u4 1(disz)-sze3
","its labor 78 male laborer workdays 
","its labor 84 workdays
"
1481,"ug3-bi a tul2-la2 de2-a-gin7 szu i3-nigin2-nigin2-ne
","Its people rushed around like water being poured from a well 
","Its people oppressed by the enemy could not withstand their weapons
"
1482,"4(disz@v)
","Princely son emerged from the pure  spending time  his horn  
","sub total 34
"
1483,"1(disz) hal-pi-a |LAL2x(URUxMIN)| = %a hal-pi-u2-um
","62 lines in this column
","1 Meaya the mayor
"
1484,"lu2 e2 {d}nin-gesz-zi-da
","the man by whom the temple of Ningezida 
","the man by whom the temple of Ningezida
"
1485,"nu-banda3 nig2-{d}ba-ba6
","overseer NigBaba 
","the overseer NigBaba the
"
1486,"1(disz) ... |LAGABxU| = %a is-su-u2
","62 lines in this column
","62 lines in this column
"
1487,"2(disz) udu
","2 rams 
","2 sheep
"
1488,"lugal uri2{ki}-ma
","king of Ur
","king of Ur
"
1489,"lagasz{ki}-ke4
","of Laga 
","of Laga
"
1490,"sze i3 siki udu ...-x-x-...
","They have givenbrought barley oilbutter and sheep wool 
","barley by the oil and sheep siskur2offerings
"
1491,"szeg12 lag-bi ha-...
","Its bricklike clods should be collected for you 
","Upon the standard
"
1492,"1(disz) sila3 sze-gesz-i3 ...
","1 sila3 sesame oil  
","1 sila3 sesame oil
"
1493,"nindaba ...
","nindaba offering  
","nindaba offering
"
1494,"mu en kar-zi-da
","year Lord of Karzida 
","xxx
"
1495,"1(disz) kikken {d}szara2-za-me
","1 millstone of black basalt for arazame 
","1 millstone of black basalt
"
1496,"esz3 uri2{ki} sza3-zu kur he2-gal2 bar-zu hur-sag he-nun-na
","Shrine Ur your interior is a mountain of abundance your exterior a hill of plenty 
","Shrine Urim your interior is a mountain of abundance your exterior a hill of plenty
"
1497,"lugal an-ub-da limmu2-ba
","king of the four corners 
","king of the four corners
"
1498,"iri{ki} an-ki-a
","City your name is surpassing in the universe 
","in the city of heaven and earth
"
1499,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
1500,"i3-gal2
","are here 
","are here
"
1501,"sa2-du11 {d}nin-lil2-la2
","regular offerings to Ninlil 
","regular offerings of Ninlil
"
1502,"ensi2
","ruler 
","ruler
"
1503,"ur-{d}namma ki ...
","UrNamma  
","UrNamma
"
1504,"3(disz) ku6 3(disz) sa szum2
","3 fish 3 bundles of garlic 
","3 fish 3 bundles onions
"
1505,"gidlam2-a-ni-ir
","who to her spouse 
","lancet
"
1506,"dub-sar
","scribe 
","scribe
"
1507,"ga-ar3-bi 3(ban2)
","their kak cheese 3 ban2 
","their kak cheese 3 ban2
"
1508,"umma{ki}-ta kam-sal4-la{ki}-sze3 ma2 gid2-da ma2 diri-ga
","from Umma to Kamsala barge punted barge floated 
","from Umma to the Dugei an empty boat towed
"
1509,"sze gesz ra-ra
","xxx 
","and barley of
"
1510,"u4 gig-ga kalam-ma ba-e-zal-la re
","the malicious storm which swept over the Land 
","The storm went by the land
"
1511,"gu4-suhub2
","xxx 
","bootoxen
"
1512,"iti ezem-{d}szul-gi-ta
","from month Festival of ulgi
","from month Festival of ulgi
"
1513,"1(asz) gu2 zi3-gu ugula-gesz2-da
","1 talent peaflour for the officerofsixty 
","1 talent of prince
"
1514,"... x-bi
","and its  
","pure
"
1515,"tukum-bi
","If
","If
"
1516,"gala-mah
","the chief lamentation singer 
","and the chief lamentation singers
"
1517,"e2-PA e2-ub-imin
","and the PAhouse the sevencorner house 
","the PAhouse the sevencorner house
"
1518,"adkinx(SZESZ2) gu4
","salted meat of an ox 
","salted meat of a ox
"
1519,"u-bar-um
","for Ubarum 
","lancet
"
1520,"sila4 nim
","lamb born in the early season 
","lamb fly
"
1521,"{d}nisaba nin ki-umun2-ma nam-mah-a-ni bi2-in-du11
","Nisaba lady of the place of wisdom his greatness proclaimed 
","Nisaba the lady of the place of his greatness
"
1522,"{d}ba-ba6
","For Baba 
","For Baba
"
1523,"ug3 gu2 {i7}dur-ul3
","that the people who on the banks of the Durul
","The people took refuge behind the city
"
1524,"geszkim sa6-ga {d}nanna-ta
","through the favorable lunar signs of Nanna 
","In the favorable signs of Nanna
"
1525,"tir hur-sag-ga2 ... mu-ni-in-...
","Father Enki uttered a lament for himself  
","the mountain range of the mountains
"
1526,"igi-na ba-ni-gar
","onto her eyes put 
","the one in front
"
1527,"{gesz}u3-szub
","brick mold 
","a brick mold
"
1528,"ur-szub5
","tiger 
","jackal
"
1529,"dumu-munus ha-ba-an-nu-um
","daughter of Habannum 
","a kind of bat
"
1530,"gesz-gi4-gal2-bi-im
","Its gigigal 
","Its gigigal
"
1531,"e2-ninnu-sze3 mu-il2
","he raised to Eninnu 
","otter
"
1532,"u4-da-ta ki-umun2-ma lu2 du14 na-an-ak-e
","From today onward no one quarrels in the place of learning 
","From this day afterwards
"
1533,"lu2-a2-|TAK4+LAK283a|
","3 onetalent stones weights with wooden pegs  
","lancet
"
1534,"i7 mah ni2 gal2-...
","Supreme river possessing an aura and giving the land gooseflesh 
","The great river open the peopleland
"
1535,"... n 1/2(disz) sila3 i3-nun
"," 12 sila3 butter oil 
","n 12 sila3 ghee
"
1536,"uzu szakanka
","meat of the market 
","marketplace
"
1537,"giri3 ur-{d}nun-gal
","via UrNungal
","via UrNungal
"
1538,"sze-er-zi an-na-ka i3-ti-gin7 e3-a
","rising in heavenly brilliance like the moon 
","Iriaz
"
1539,"esz3 e2-ninnu-a
","In the Eninnu sanctuary
","and in the shrine Eninnu
"
1540,"3(disz) gin2 i3 2(disz) gin2 naga
","3 shekels oil 2 shekels alkaliplant 
","3 shekels oil 2 shekels alkaliplant
"
1541,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
1542,"ud-ba iri-a iri-a ezen gu3 bi2-ib-ra
","At that time a festival was announced in the city
","At that time there was a princely fate of Inab Martu said
"
1543,"szu ba-ti
","received 
","received
"
1544,"gir-gir gilim-ma-ni ugu-ni-sze3 lu2 im-...
","When she bent down the man  above her 
","The priestsmith Nintukalamma
"
1545,"pu-usz{ki} ...
","Pu  
","built
"
1546,"... mu-na-dim2
","I fashioned the cauldron for himher
","he fashioned for her
"
1547,"a-sal-bar-bi ku3-sig17 {na4}za-gin3-na u3-gun3 du11-ga-a-bi
","Its asalbar feature the one that was overlaid with gold and lapis  
","1 ms adds 1 line Its architrave gold and lapis lazuli
"
1548,"2(disz)-kam-ma-sze3 pu-uh2-rum ki sag-ki ba-da-ab-gal2-la
","A second time when the council had settled itself in the preeminent place 
","For a 2nd time the fish insulted the bird
"
1549,"a-anzu2{muszen}
","of Aanzu 
","lancet
"
1550,"mu ma2 {d}en-ki ba-ab-du8
","year The boat of Enki was caulked 
","year The boat of Enki was caulked
"
1551,"... ansze-nitah gu2 nun du11-du11
"," donkeys that bray loudly  
","Platform of the ruler
"
1552,"n masz2-gal niga
","n fullgrown billy goats grainfed 
","n bucks barleyfed
"
1553,"... nu-ku4-ku4-de3
","In Eridu the pure place which no one is to enter 
","Thinheadeddeprecating man stupid of mind
"
1554,"e2 a-kal-la-ke4 1(gesz2) ninda-am3 nu-ti-a gaba-ri-na mu-gub
","To the house of Akalla within 6 ninda did Eaar not approach he remained on his opposite side 
","The houses of the gods met him
"
1555,"mu en-unu6-gal {d}inanna unu{ki} ba-hun
","year Enunugal of Inanna in Uruk was installed
","year Enunugal of Inanna in Uruk was hired
"
1556,"sag-e-esz u3-mu-ni-in-rig7
","And she will have bestowed upon him very beautiful handwriting the alluring feature of the scribal art 
","Seven times
"
1557,"{gesz}igi nimbar
","the broom of a date palm frond 
","the stump of a date palm frond
"
1558,"suhusz {gesz}gu-za x x x x
","the foundation of a throne 
","and a throne of
"
1559,"dumu-gu10 ...-na-AN x ... dur2 ... nam-bi2-...
","My son do not sit in a chamber with someone who is married 
","My son emerged from the pure spending time his horn
"
1560,"ur-e ad6 ib2-gu7 gaba-bi ib2-zi-zi
","A dog that has eaten carrion has also retreated 
","When you speak to my king
"
1561,"mu x i3-ak
","he acted for n years 
","acted for years
"
1562,"a-ra2 5(disz)-a-kam tum-ma-al{ki} ba-szub
","Then the Tummal fell into ruins for a fourth time 
","Then the Tummal fell into ruins for the first time
"
1563,"2(asz) gu2 ...
","2 talents  
","2 talents
"
1564,"szu12-de3 gesztu2 tuku
","one who listens to prayer 
","because the prayers
"
1565,"{d}en-...
","For En 
","by Enki
"
1566,"zabar-ba bi2-in-hal-am3 %a te-eb tu-ku-ul-ti-szu
","the assaultuprising of his trusted ones 
","The priestsmith Nintukalamma
"
1567,"kiszib3 ur-...
","under seal of Ur 
","under seal of Ur
"
1568,"mi-ni-in-gar-ra
","having established there 
","is his servant
"
1569,"mu-ni bi2-in-sar-ra
","and write his name on it  
","His name
"
1570,"mu ur-bi2-lum{ki} ba-hul
","xxx 
","year Urbilum was destroyed
"
1571,"iti min-esz3
","month mine 
","month mine
"
1572,"8(disz) gurusz u4 7(disz)-sze3 sze ma2-a si-ga
","8 laborers for 7 workdays barley loaded in the barge 
","8 laborers for 7 days barley in the barge loaded
"
1573,"{d}nin-gir2-su2-ka-ke4
","by Ningirsu 
","of Ningirsu
"
1574,"sag-apin erin2 ug3-IL2
","head plowmen labortroops porters 
","xxx
"
1575,"nig2-ka9 pisan kab2-du11-ga szabra-ne
","xxx 
","xxx
"
1576,"{d}inanna-ke4
","by Inanna 
","of Inanna
"
1577,"... kur-kur-ra 3(disz)-kam-ma-bi na-nam
","The junior Enlil of the lands he was the 3rd one 
","The accusatory finger was there pointing behind him
"
1578,"i3-gal2
","xxx 
","are here
"
1579,"URU-KA-gi-na-ke4
","URUKAgina 
","and URUKAgina
"
1580,"gesz
","tree 
","tree
"
1581,"kur-ta
","from the mountains 
","from the mountains
"
1582,"erin2 pirig x ...
","A team of lions 
","labortroops
"
1583,"e2 {d}ga2-tum3-du10
","The temple of Gatumdu 
","The temple of Gatumdu
"
1584,"i7 gu2-x-ur2
","the  canal 
","Lumah canal
"
1585,"sze-bi 1(u) 9(asz) 4(barig) gur
","its barley 19 gur 4 barig 
","its barley 19 gur 4 barig
"
1586,"ur-{d}ha-ia3-ke4
","did Uraya 
","lancet
"
1587,"ur-{d}namma ka-mud-gal2 ki-en-gi-ra me-te ukken-na
","UrNamma the advocate of Sumer the ornament of the assembly 
","UrNamma you elevated in Sumer of the assembly
"
1588,"3(u) 3(disz) geme2 u4 1(disz)-sze3
","33 female laborer days 
","33 female laborer days
"
1589,"al-da-ak{ki}
","of Aldak
","lancet
"
1590,"sza3 uri5{ki}-ma
","In Ur
","in Ur
"
1591,"{d}en-lil2-le-ke4 e2-...
","Enlil was determining a destiny for Summer and Winter 
","lahama creatures
"
1592,"ba-kux(KWU147)
","were to be brought in 
","lancet
"
1593,"a. szu-ni szu-du8-a ba-e-dab5
","His hands were seized in handcuffs 
","The enemy seized his hands
"
1594,"tug2 dan2-dan2-na-zu na-an-mu4-mu4-un
","You should not put on your clean garments 
","batab duhum textiles
"
1595,"e2-mah ki a-sig de2-da-na
","In his lofty temple where cold water would be poured 
","The Emah temple the steppedartfully made people
"
1596,"i3-gal2
","are here
","are here
"
1597,"ib-ni-{d}suen
","IbniSn was the scribe 
","lancet
"
1598,"1/2(disz) ma-na
","12 mana 
","at the weight of 12 mina
"
1599,"ur-{d}namma ku3-tuku mu-un-ba-al-e
","UrNamma the one who has silver will dig here 
","UrNamma will dig it
"
1600,"{d}ba-ba6-ke4
","of Baba 
","of Baba
"
1601,"uru17{ki}-a ...-gaz x-ke3-e tesz2-bi i3-gu7-e
","In the city the weapon was murdering and devouring as if in a pack 
","The priestsmith Nintukalamma
"
1602,"1(u) 4(disz) 1(disz) kusz3 ur-szubur
","Gudea 
","Gudea
"
1603,"{d}asznan {d}lahar-ra mu-na-ni-ib-gi4-gi4
","Ezina was answering lahar 
","Ezina was speaking to lahar
"
1604,"he2-bi2-gu-ul
","I made bigger 
","lancet
"
1605,"gu4 ab2 sag murub4 addir-bi
","for the hire of oxen or cows for lead or middle 
","The ones that know the stars of it
"
1606,"x-ur2 ki ni2 dub2-bu ...
","The Kiur shrine the place of relaxation of Enlil has been made into a windblown shrine 
","The Duur Enlils restingplace has become a haunted place
"
1607,"an an an an an an an
","heaven heaven heaven heaven heaven heaven heaven
","An
"
1608,"ensi2 umma{ki}
","governor of Umma 
","governor of Umma
"
1609,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
1610,"kisz %a kisz
","of the world 
","of the world
"
1611,"sza3 mu-ba-ka
","in the middle of that year
","In the middle of that year
"
1612,"e2-sug4-ga giri2 sar-sar
","Esuga temple sharpened dagger 
","Written on tablets it was held in her hands
"
1613,"bar-la2 i7 si-sa2 gub-ba
","at barla of straightcanal stationed 
","at the basin of the DublaUtu canal stationed
"
1614,"dingir ku3 an sikil-la
","holy god who in the pure heaven 
","the holy gods of heaven and earth
"
1615,"{d}szul-gi-i3-li2
","ulgiil
","ulgiil
"
1616,"gaba nu-sza-ra-x-gu10
","My unshrinking chest provisions that of Enlil 
","Pae Ummanaldash who before Teumman
"
1617,"me-e szu si im-ma-sa2
","they performed the me 
","I am ImeDagan and thus the most precious metal of the city
"
1618,"lagasz
","of Laga 
","of Laga
"
1619,"1(asz) e2-na
","1 Ena 
","1 barleysilo
"
1620,"6(gesz2) 4(u) 7(disz) ab2
","47 cows 
","47 cows
"
1621,"pa gal mu-na-an-e3
","he made greatly resplendent for him 
","he made greatly resplendent for him
"
1622,"1(disz) tug2 bar-dul5 saga
","1 garment outercover good quality 
","1 outer garment
"
1623,"ku3 {d}inanna-ra gu3 mu-na-de2-e
","He says to holy Inanna 
","to holy Inanna
"
1624,"nam-ta-e3
","he came out 
","He came out
"
1625,"1(disz) x-la
","1 la 
","1 for
"
1626,"ku3-bi 1(u) 3(disz) 5/6(disz) gin2 2(u) 1(disz) sze
","its silver 13 56 shekels 21 grains 
","its silver 13 shekels 21 grains
"
1627,"sahar-bi 6(disz) sar
","its soil 6 sar 
","its soil 6 sar
"
1628,"eb-la{ki} ma-ri2{ki} tu-tu-ul{ki} ma-x-(x)
","Ebla Mari Tuttul  
","Ebla Mari Tuttul Ma
"
1629,"mu us2-sa bad3 ba-du3-sze3
","xxx 
","to the year following The wall was erected
"
1630,"nin-a-ni
","his lady 
","his mistress
"
1631,"mu-un-szi-in-bar-ra-am3
","did direct
","lancet
"
1632,"ka-gu10 ma-gig
","My mouth is hurting me 
","My mouth is hurting me
"
1633,"{d}utu-gin7 u4 kur-kur-...
","Like Utu the light of the lands 
","Templegoing out in the lands
"
1634,"{d}inanna-ke4 me3 szen-szen-na ki-bala-e ba-an-szum2
","inanna handed over victory in strife and battle to a rebellious land 
","Inanna traveled towards the underworld
"
1635,"{d}nanna
","may Nanna 
","For Nanna
"
1636,"iti ezem-{d}nin-a-zu
","Month festival of the Ninazu 
","month Festival of Ninazu
"
1637,"me szu du7-du7 lagasz{ki}
","who perfects the divine attributes of Laga 
","and perfects the divine powers of Laga
"
1638,"e2-an-na gir2-su{ki}-ka-ni
","her Eanna temple of Girsu 
","her Eanna temple of Girsu
"
1639,"ama mu-lu tu-ra er2-am3 a-sze-ra mi-...-x
","The mother speaking a lament for the sick wailing
","The mother of the one whose corpse grows in the plain
"
1640,"2(disz) gin2 i3 2(disz) gin2 naga
","2 shekels oil 2 shekels alkaliplant 
","2 shekels oil 2 shekels alkaliplant
"
1641,"mu i-tur2-{d}utu ba-usz2
","year Iturama died 
","The laughing slaughtered
"
1642,"ab-ba-kal-la szu ba-ti
","did Abbakala receive 
","Basketoftablets
"
1643,"e2-an-na-tum2
","Eannatum 
","Eannatum
"
1644,"tur3 du3-a-da a-masz du3-a-da
","that cattlepens and sheepfolds be built
","that the pens might be built settlements
"
1645,"{gesz}haszhur ar-wa-a-nu-um
","an apricot tree 
","apricot
"
1646,"i3-gub nu-mu-un-gi-en i3-tusz li-bi2-in-sa6
","You stand and you do not do it right you sit and you did not make it good 
","Over he dug the canal Nigingitukuam
"
1647,"e2-a sa2 5(asz)-am3 nam-mi-se3
","For the fifth time did he not give a blessing in the house 
","For the deity Aum
"
1648,"szu nu-bal-x
","is not overturned
","Written on tablets
"
1649,"ab-ba a lu2-bi nu-ga2-ga2
","The old men did not restrain the cry Alas for its people 
","Bird you do not know his sea you
"
1650,"...-sze3
","of 
","to the
"
1651,"a mu-na-ru
","dedicated this 
","he dedicated it to him
"
1652,"mu us2-sa si-mu-ru-um{ki} a-ra2 3(asz)-kam-asz ba-hul
","year following Simurrum was destroyed a 3rd time 
","year following For the 3rd time Simurrum was destroyed
"
1653,"nita kal-ga
","the mighty man
","the mighty man
"
1654,"... x USZ TUG2 ...
","My god after you made my eyes know my  and sin 
","drill
"
1655,"mu a-ra2 2(disz)-kam sza-asz-szu2-ru-um ba-hul
","year A 2nd time arum was destroyed 
","Year The silverthrone of the evildoer was fashioned
"
1656,"szu-kin dab5-be2-da-ni-sze3
","while prostrating himself  
","he bowed down before him
"
1657,"sag-bi mu-ni-il2
","I raised up its top 
","I raised up its top
"
1658,"{d}i-bi2-{d}suen
","IbbiSn
","IbbiSuen
"
1659,"mu ... lugal uri5{ki} ...
","year  the king of Ur   
","year king of Ur
"
1660,"...-x-MU
"," Tigris  
","lancet
"
1661,"{d}lamma sa6-ga-zu giri3-a ha-mu-da-du
","may your good Lamma follow me on my path 
","No one should be allowed to split apart your good quality lapis lazuli among the beads of the gem cutter
"
1662,"suhur{ku6}-e a-lal3-e e-ne mu-un-e3-de3
","The suhur carp plays in the ulal plants 
","The suhur carp play among the honeyherbs
"
1663,"{disz}{d}en-lil2-mas-su inim du10 ad gi4 sa6 ka lal3 inim gun3-gun3-ra u3-na-a-du11
","After you speak to Enlilmassu the provider of sweet words and good advice the possessor of a honey mouth who is charming 
","The holygold was made colorful by the furious hand of the craftsman
"
1664,"gaba-za he2-en-DU-...
","May he stand it on your chest 
","confronted him
"
1665,"{gesz}ig gu2 gid2-da za-pa-ag2-bi ba-szub lu2 gu2 gid2-i la-ba-an-tuku
","there was no one to fasten it 
","The noise of the previously fixedcontrolled door fell silent it had no one to fixcontrol it
"
1666,"a mu-ru
","he dedicated it this vase
","dedicate it this bowl
"
1667,"me hal-ha-zu
","When you divide up the cosmic powers it results in a true lot that cannot be dispelled 
","Manifest among in the land
"
1668,"kuruszda ARAD2-zu
","fattener is your servant
","fattener
"
1669,"esz3 ninda gu7 dingir-re-...
","They gathered them into the shrine where the gods ate food 
","Like the shrine bread crumbs that have fallen from the roof
"
1670,"da-num2
","scribe 
","the mighty
"
