input,actual,predicted
"a2-bi u4 4(u) 5(disz) 3(gesz2) 3(u) 6(disz) sar nig2-gul 1(u) 2(disz) sar-ta
","its labor 4u 5disz days  216 sar of pickaxing at 12 sar a day 
","its labor 4u 5disz days 216 sar of pickaxing at 12 sar a day
"
"sa gu4 3(disz)-kam 1(disz) kun gu4
","tendon of 3 oxen  1 tail of ox 
","tendon of 3 oxen 1 tail of ox
"
"1(disz) udu u2 a tu5-a {d}nin-e11-e
","1 sheep grassfed cleansing of NinEe 
","1 sheep grassfed cleansing Ninee
"
"lugal-nig2-lagar-e dub-sar dumu da-da
","Lugalniglagare  scribe  son of Dada 
","Lugalniglagare scribe son of Dada
"
"pisan-dub-ba dub gid2-da na-ba-sa6 simug
","Basketoftablets  longtablets  Nabasa the smith 
","Basketoftablets longtablets Nabasa the smith
"
"dug-3(ban2)-bi 2(disz)-am3 2(barig) 1(ban2) 3(disz) 2/3(disz) sila3 i3-gesz
","its vessels of 3 ban2 2  2 barig 1 ban2 3 23 sila3 sesame oil 
","2 gur 2 barig 1 ban2 3 23 sila3 sesame oil
"
"ki na-ra-am-i3-li2-ta mu-kux(DU) {d}szul-gi-mi-szar
","from Naramil  delivery  ulgimiar 
","from Naramil delivery ulgimiar
"
"3(ban2) geme2-lugal dumu na-na-a 1(ban2) 5(disz) lu2-{d}nin-ur4-ra dumu-ni
","3 ban2 Gemelugal child of Nanaa  1 ban2 5 sila3 LuNinura her child 
","licked The sons of the city and 1 ban2 5 sila3 of my sons
"
"2(disz) masz2-gal 1(disz) sila4 ga ba-usz2
","2 billy goats  1 suckling lamb  slaughtered 
","2 bucks 1 suckling lamb slaughtered
"
"5(ban2) 8(disz) sila3 dabin u4 8(disz)-kam
","5 ban2 8 sila3 of dabinflour  8th day 
","5 ban2 8 sila3 of dabinflour 8th day
"
"mu gu-za ku3 {d}en-lil2-la2 ba-dim2
","year The silver chair of Enlil was fashioned 
","year The silver throne of Enlil was fashioned
"
"e2-muhaldim-sze3 u4 4(disz)-kam ki ab-ba-sa6-ga-ta ba-zi
","for the kitchen  4th day  from Abbasagas account booked out 
","for the kitchen 4th day from Abbasagas account booked out
"
"giri3 ur-{d}ba-ba6 dub-sar iti ezem-an-na mu en eridu{ki} ba-hun
","via UrBaba the scribe  month Festival of An  year The enpriestess of Eridu was hired 
","via UrBaba the scribe month Festival of An year The enpriestess of Eridu was hired
"
"lugal an-ub-da limmu2-ba na-silim dumu ur-...
","king of the four corners Nasilim son of Ur
","king of the four corners Nasilim son of Ur
"
"lugal an-ub-da limmu2-ba puzur4-{d}li9-si4 dub-sar
","king of the four corners PuzurLisi scribe
","king of the four corners PuzurLisi scribe
"
"2(ban2) numun za3-hi-li 2(barig) 6(disz) sila3 ku-mul
","2 ban2 of cress seed  and 2 barig 6 sila3 kumul spice 
","2 ban2 of cress seed and 2 barig 6 sila3 kumul spice
"
"tir gar-su4-da i3-dab5 1(asz) GAN2 lugal-da-ga
","the Garsudawoods took in charge  1 acworker field Lugaldaga 
","licked they took in charge 1 acworker field akusig
"
"1(disz) x x {d}suen 1(u) 4(disz) udu 4(disz) masz2 x x
","1  Suen  14 sheep 4 goats  
","1 Suen 14 sheep 4 goats
"
"1(disz) masz2 ga u3-tu-da u4 3(u) la2 1(disz)-kam
","1 suckling kid  newborns  it is on the 29th day of the month 
","1 suckling kid newborns it is on the 29th day of the month
"
"si gu4 2(disz)-kam mu-kux(DU) lugal-szu-nir-re unu3
","horn or 2 oxen  delivery  Lugalunire cowherd 
","horn or 2 oxen delivery Lugalunire cowherd
"
"x-lu2-x-x 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2
","for   3 sila3 beer 2 sila3 ninda 2 bundles onions 
","for 3 sila3 beer 2 sila3 ninda 2 bundles onions
"
"a-sza3 GAN2-mah giri3 da-a-ga zar3 tab-ba szu ur3-ra
","at the field GANma  under seal of Daaga  sheaves piled up leveled 
","field of Daaga via Daaga leveled
"
"5(disz) gurusz u4 2(disz)-sze3 umma{ki}-ta kam-sal4-la{ki}-sze3 ma2 gid2-da ma2 diri-ga
","5 male laborers for 2 days  from Umma to Kamsala barge punted barge floated 
","5 male laborers for 2 days from Umma to Kamsala barge punted barge floated
"
"2(u) la2 3(disz) tug2 guz-za du
","2 less 3 garments guzzaf regular quality 
","2 less 3 garments guzzaf regular quality one garment
"
"1(disz) kasz dida 6(disz) gin2 i3
","1 pot of dida beer 6 shekels of oil 
","1 pot ca 1 liters of dida beer 6 shekels 1 shekel ca 16 liter of oil and 6 shekels
"
"1(gesz2) 5(u) 5(disz) geme2 u4 1(disz)-sze3 kab2-ku5 {d}nin-a-zu
","115 workdays at the reservoir of Ninazu  
","115 workdays at the reservoir of Ninazu
"
"ki lu2-kal-la-ta kiszib3 lu2-me-lam2 giri3 amar-szuba3
","from Lukalla  under seal of Lumelam  via Amaruba 
","from Lukalla under seal of Lumelam via Amaruba
"
"dumu geme2-{d}li9-si4 3(disz) masz-tur 3(disz) geme2-{d}nin-mar{ki}
","daughter of GemeLisi  3 mana wool for Matur  and 3 for Geme2Ninmar 
","son of GemeLisi 3 mana wool for GemeLisi
"
"sza3-gal udu niga sa2-du11 ki ur-e2-mah-ta
","fodder of fattened sheep regular offering  from UrEma 
","fodder for sheep grainfed for Uremah from Uremah
"
"lugal an-ub-da limmu2-ba ba-ba-ra ... dumu lu2-{d}x-KA
","king of the four corners Babara  son of Lu
","king of the four corners Babara son of Lu
"
"4(gesz2) sar gi zex(SIG7)-a 2(u) sar-ta
","24 sar reeds uprooted at 2 sar a day 
","24 sar reeds uprooted at 2 sar a day
"
"1(disz) gu4 ba-usz2 giri3 {d}na-ru2-a-e3 iti szu-numun
","1 ox slaughtered  via Naruae  month Sowing 
","1 ox slaughtered via Naruae month Sowing
"
"szu-{d}inanna 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga
","for Inanna  3 sila3 beer 2 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant 
","for Inanna 3 sila3 beer 2 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant
"
"mu dumu-munus lugal-sze3 lugal an-sza-... 1(szargal){gal} 1(szar'u) 1(szar2) 1(bur3) GAN2
","year The king of Anshan married the kings daughter ulgi 3 4261 bur3 field surface 
","year The king of Anshan married the kings daughter ulgi 3 4261 bur3 field surface
"
"mur-gu4 5/6(disz)-bi 1(u) 6(asz) 3(barig) 4(ban2) 7(disz) sila3 5(disz) gin2 gur
","their fodder at 56 that of seed grain 16 gur 3 barig 4 ban2 7 sila3 5 shekels 
","their fodder at 56 that of seed grain 16 gur 3 barig 4 ban2 7 sila3 5 shekels
"
"2(ban2) naga si-e3 kiszib3 ur-... 1(barig) naga si-e3 ku3-bi 1(u) 2(disz) sze
","2 ban2 of horned alkaliplant  under seal of Ur  1 barig horned alkaliplant their silver 12 grains 
","2 ban2 horned alkaliplant under seal of Ur 1 barig its silver 12 grains
"
"2(u) 1(disz) udu-nita2 1(u) sila4 ga
","21 rams 1 suckling male lambs 
","21 rams 1 suckling male lambs
"
"1(disz) gudu4 {d}mes-lam-ta-e3-a szunigin 3(gesz2) 8(disz) gurusz gub-ba
","1 gudupriest of Meslamtaea  Total 188 workers on hand 
","1 gudupriest of Meslamtaea Total 188 workers on hand
"
"lu2-dingir-ra i3-dab5 iti ezem-me-ki-gal2
","Ludingira  accepted  month Festival of Mekigal 
","Ludingira accepted month Festival of Mekigal
"
"mu hu-uh2-nu-ri{ki} ba-hul 4(disz)
","year unuri was destroyed  total 4 
","year unuri was destroyed total 4
"
"mu-kux(DU) {d}nanna-ki-ag2 szabra lugal-inim-gi-na sukkal maszkim
","delivery of Nannakiag chief household manager  Lugalinimgina messenger was enforcer 
","delivery of edada the household manager Lugalinimgina messenger was enforcer
"
"ur-nigar{gar} ka-guru7 1(disz) sila4 zi2-na-na 1(disz) {munus}asz2-gar3 nu-ur2-i3-li2 nu-banda3
","Urnigar silo manager  1 lamb Zinana  1 female kid Nril the captain 
","Urnigar silo manager 1 lamb Zinana 1 female kid Nril the captain
"
"sze-bi 1(u) 5(asz) 4(barig) gur a-sza3 du6-{d}ur3-bar-tab
","its barley 15 gur 4 barig  field HillockofUrbartab 
","its barley 15 gur 4 barig field HillockofUrbartab
"
"6(disz) gurusz u4 5(disz)-sze3 zi3 ma2-a si-ga
","6 workmen for 5 days  flour loaded in the barge 
","6 male laborers for 5 days flour in the barge loaded
"
"szu ba-ti giri3 ARAD2 ka-guru7 iti ezem-{d}szul-gi
","received  via ARAD the chief granary officer  month Festival of ulgi 
","received via ARAD the silo manager
"
"1(u) 2(disz) u8 4(gesz2) 2(u) 1(disz) masz2
","12 ewes 261 buck goats
","12 ewes 261 buck goats
"
"1(disz) udu gir-ru-um niga 2(disz) udu eme-gi-ra nita2
","1 kirrum sheep grainfed 2 emegi rams
","1 kirrum sheep grainfed 2 emegi rams
"
"geme2-{d}suen dam szul-gi lugal uri5{ki}-ma
","AmatSn  wife of ulgi  king of Ur 
","AmatSn wife of ulgi king of Ur
"
"6(asz) 2(ban2) gur he2-dab5 {gesz}tukul-e dab5-ba
","6 gur 2 ban2 for the captives seized by the weapons
","6 gur 2 ban2 captives seized by the weapons
"
"a-sza3 la2-tur lugal-ma2-gur8-re engar 1(bur3) 2(esze3) 1(iku) GAN2 1(u)-ta
","field Latur  Lugalmagure the plowman  1 bur3 2 ee3 1 iku surface area 1 each 
","field Latur 1 bur3 2 ee3 1 iku surface area at 1 each
"
"1(disz) udu la2-ia3 a-la-mu ($ blank space $) 1(u) 3(disz)
","1 sheep deficit of Alamu  total 13 
","1 sheep deficit of Alamu total 13
"
"a. 1(disz) 1/2(disz) ninda la2 1(disz) szu-du3-a gid2
","1 12 ninda less 1 fist 13 cubit the length 
","1 12 ninda less 1 fist 13 cubit the length
"
"sag-nig2-gur11-ra-kam sza3-bi-ta 4(u) 7(disz) gurusz u4 1(disz)-sze3
","are the debits therefrom  47 workdays male laborers 
","are the debit Therefrom 47 male laborer workdays
"
"5(ban2) 8(disz) sila3 zi3 gazx(KUM) sa2-du11 ku5-da
","5 ban2 8 sila3 pounded flour  cut out of regular offerings 
","5 ban2 8 sila3 pounded flour cut out of regular offerings
"
"a2-bi u4 3(u) 7(disz) 1/3(disz)-kam kiszib3 lu2-dingir-ra
","its labor 37 13 days  sealed tablet of Ludingira 
","its labor 37 13 days sealed tablet of Ludingira
"
"lugal an-ub-da limmu2-ba {d}szul-gi-sipa-kalam-ma ra2-gaba
","king of the four corners ulgisipakalama rider
","king of the four corners ulgisipakalama rider
"
"ki in-ta-e3-a-ta 5(disz) udu ki na-lu5-ta
","from Intaea  5 sheep from Nalu 
","from Intaea 5 sheep from Nalu
"
"3(disz) ud5 niga 7(gesz2) 3(u) 1(disz) udu
","3 grainfed doe goats 451 sheep
","3 grainfed doe goats 45 sheep
"
"4(bur3) 1(iku) 1/4(iku) GAN2 1(u)-ta sze-bi 4(u) 2(asz) 4(barig) gur
","4 bur3 1 14 iku surface area at 1 each  its barley 42 gur 4 barig 
","4 bur3 1 14 iku surface area at 1 each its barley 42 gur 4 barig
"
"lu2-kal-la dub-sar dumu ur-nigar{gar} szusz3
","Lukalla  scribe  son of Urnigar cattle manager 
","Lukalla scribe son of Urnigar cattle manager
"
"na-sa6 i3-dab5 iti ezem-{d}nin-a-zu mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul
","Nasa accepted  month Festival of Ninazu  year Simurum and Lulubu for the 9th time were destroyed 
","Nasa accepted month Festival of Ninazu year Simurum and Lulubu for the 9th time were destroyed
"
"pisan-dub-ba dab5-ba udu gukkal-me mu ha-ar-szi{ki} ba-hul-ta
","Basketoftablets  seized fattailed sheep  from the year Hari was destroyed 
","Basketoftablets seized fattailed sheep from the year Hari was destroyed
"
"ki-su7 du6-gub3-temen-na-ta iti diri mu {d}szu-{d}suen lugal-e na-ru2-a-mah mu-du3
","from the threshing floor Dugubtemena  month Extra  year uSuen the king Greatstele erected 
","from the threshing floor sixth month month 8 year uSuen the king Greatstele erected
"
"4(barig) 3(ban2) 2(disz) sila3 lu2-gi-na 1(u) 3(asz) 5(ban2) sze gur lugal
","4 barig 3 ban2 2 sila3 Lugina  13 gur 5 ban2 barley royal measure 
","4 barig 3 ban2 2 sila3 Lugina 13 gur 5 ban2 barley royal measure
"
"8(asz) gur szuku ha-ba-lu5 ugula e2-gal-e-si
","8 gur prebend of Habalu  foreman Egalesi 
","8 gur prebend of Habalu foreman Egalesi
"
"a2 u4-du8-a geme2 ba-usz2-a sag-nig2-gur11-ra-kam sza3-bi-ta
","labor of the free days of the deceased female laborer  It is the debit  Therefrom 
","labor of the free days of the deceased female laborer It is the debit Therefrom
"
"ur-e2-mah engar 1(u) 5(asz) gur ur-{d}szul-pa-e3
","Urema the plowman  15 gur Urulpae 
","Urema the plowman 15 gur Urulpae
"
"szu-gid2 iti u4 2(u) 1(disz) ba-zal
","for exstispicy  of the month the 21st day passed 
","for exstispicy of the month the 21st day passed
"
"{d}utu-ma-an-szum2 5(disz) sila3 kasz 5(disz) sila3 ninda 2(disz) sa szum2
","for Utumanum  5 sila3 beer 5 sila3 bread 2 bundles onions 
","for Utumanum 5 sila3 beer 5 sila3 bread 2 bundles onions
"
"1(bur3) GAN2 1(u) 2(disz)-ta sze-bi 1(u) gur
","1 bur3 surface area at 12 each  its barley 1 gur 
","1 bur3 surface area at 12 each its barley 1 gur
"
"4(disz) erin2 2(ban2)-ta u4 2(u)-sze3 sze-bi 1(u) 3(barig) 2(ban2) gur
","4 labortroops at 2 ban2 each for 2 days its barley 1 gur 3 barig 2 ban2
","4 labortroops at 2 ban2 each for 2 days its barley 1 gur 3 barig 2 ban2
"
"2(gesz2) 1(u) 4(asz) gur ku3-bi 2(disz) 1/2(disz) ma-na 7(disz) 1/2(disz) gin2
","134 gur  its silver 2 12 mana 7 12 shekels 
","14 gur barley its silver 2 12 minas 7 12 shekels
"
"1(disz) ur-sukkal dumu-ni tir zabala3{ki} i3-dab5
","1 diworker Ursukkal his son  the Zabalawoods took in charge 
","1 diworker Ursukkal his son the Zabalawoods took in charge
"
"1(disz) ur-{d}szul-pa-e3 szu ba-ti-esz2 iti bara2-za3-gar
","and 1 UrSulpae  receive  month barazagar 
","and 1 UrSulpae receive month barazagar
"
"1(disz) az u4 1(u) 4(disz)-kam ki ab-ba-sa6-ga-ta
","1 bear  14th day  from Abbasaga 
","1 bear 14th day from Abbasaga
"
"3(u) sze gur a2-bi 1(gesz'u) 5(gesz2) u4 1(disz)-sze3
","3 gur barley  the labor 9 workdays 
","3 gur barley the labor 9 workdays
"
"1(u) 9(disz) gin2 ku3-babbar im 5(disz)-kam
","19 shekels silver 5th tablet
","19 shekels silver 5th tablet
"
"mu us2-sa an-sza-an{ki} ba-hul mu {d}nanna kar-zi-da a-ra2 2(disz)
","year following Ansan was destoyed  year Nanna in Karzida for the 2nd time 
","year following Ansan was destoyed year Nanna in Karzida for the 2nd time
"
"1(gesz2) 4(u) 8(disz) gurusz u4 1(disz)-sze3
","18 workdays male laborers 
","18 workdays male laborers
"
"1/2(disz) {gesz}guzza-ni an-za-gar3 ur-{d}dumu-zi-da 1/2(disz) lugal-ku3-zu
","12 workman Guzzani  at the tower of UrDumuzida  12 workman Lugalkuzu 
","12 workman Guzzani at the tower of UrDumuzida 12 workman Lugalkuzu
"
"sze-bi 1(u) gur a-sza3 du6-{d}ur3-bar-tab 2(esze3) 5(iku) 1/2(iku) GAN2 1(u)-ta
","its barley 1 gur  field HillockofUrbartab  2 ee3 5 12 iku surface area at 1 each 
","its barley 1 gur field HillockofUrbartab 2 ee3 5 12 iku surface area at 1 each
"
"erin2 bala-gub-ba kiszib3 ur-{d}nansze dumu e2-ab-sza3-ga
","for the worktroops performing the corve duty on the sealed tablet of UrNane son of Eabaga
","for the worktroops performing the corve duty on the sealed tablet of UrNane son of Eabaga
"
"da-a-ni 2(ban2) kasz 2(ban2) ninda 2(disz) sa szum2
","for Dayyn  2 ban2 beer 2 ban2 bread 2 bundles onions 
","for Dayyn 2 ban2 beer 2 ban2 bread 2 bundles onions
"
"6(gesz2) 1(u) sa gi-zi gu-nigin2-ba 5(disz) sa-ta
","37 bundles fodderreed  their bales at 5 bundles each 
","37 bundles fodderreed their bales at 5 bundles each
"
"sza3-bi-ta 1(disz) ma-na ku3-babbar kiszib3 lu2-kal-la ki ur-sila-luh mu-kux(DU)
","therefrom  1 mina silver  under seal of Lukalla delivered from Ursilaluh 
","therefrom 1 mina silver under seal of Lukalla delivered from Ursilaluh
"
"e2 {d}szu-{d}suen na-ba-sa6 e2-kas4 an-za-gar3
","house of uSuen  Nabasa  waystation of the tower 
","house of uSuen Nabasa waystation of the tower
"
"1(disz) ... {d}nin-hur-sag 1(disz) ... {d}nusku
","1  for Ninursag  1  for Nusku 
","1 for Ninursag 1 for Nusku
"
"lugal an-ub-da limmu2-ba da-x-x-za-ti-da dub-sar
","king of the four corners Dazitida scribe
","king of the four corners scribe scribe
"
"1(disz) gu4 1(u) 6(disz) udu
","total 1 ox 16 small cattle 
","total 1 ox 16 small cattle
"
"pisan-dub-ba udu gukkal gub-ba zu2-si-ka ku4-ra
","Basketoftablets  sheep fattailed sheep stationed  of ivory sent in 
","Basketoftablets sheep fattailed sheep stationed of ivory sent in
"
"1(disz) masz2-gal 1(disz) masz2 {d}szul-gi-ha-ma-ti 1(disz) x ...-gal2
","1 fullgrown male goat 1 male goat  ulgiamati  1  
","1 fullgrown male goat 1 male goat ulgiamati 1
"
"2(disz) masz2 szu-gid2 e2 muhaldim-sze3 1(disz) dusu2-munus ba-usz2 mu ur-ra-sze3
","2 goats as provisions for the kitchen  1 female equid slaughtered for the dogs 
","2 goats as provisions for the kitchen 1 female equid slaughtered for the dogs
"
"a2-bi 2(disz) gin2-ta ur-{d}da-mu ugula su-su-dam
","the labor 2 shekels  to UrDamu  the foreman to be replaced 
","the labor 2 shekels to UrDamu the foreman to be replaced
"
"2(ban2) zi3 gu2-gal ku3-bi 2(u) 4(disz) sze
","2 ban2 of chickpea flour  its silver 24 grains 
","2 ban2 big pulses with its silver 24 grains
"
"ama ki-ag2-ga2-ni ARAD2-da-ni-ir in-na-ba
","his Suens beloved mother his servant he gifted this seal
","his Suens beloved mother his servant he gifted this seal
"
"2(disz) kusz szu-dulx(|URxA|) amar 2(disz) ad7 gu4
","2 hides of calves yokes  2 carcasses of oxen 
","2 hides of calves yokes 2 carcasses of oxen
"
"e2-kiszib3-ba a2-ti-da-za3-gu2-la2 3(u) 3(asz) gu2 1(u) 4(disz) 5/6(disz) ma-na siki
","the warehouse AtiDazagula  33 talents 14 56 mana wool 
","from the storage facility of Gabakara 33 talents of wool
"
"e2 usz-bar e2-gal u3 e2 usz-bar nin-dingir
","house of weavers of the palace and house of weavers of the priestess
","house of weavers of the palace and house of weavers of the priestess
"
"1(esze3) GAN2 gesz-ur3-ra 1(gesz2) gurusz al 5(disz) sar-ta
","1 ee3 land for harrowing  6 workers each hoeing 5 sar 
","1 ee3 land for harrowing 6 workers each hoeing 5 sar
"
"i3-dab5 iti szu-esz5-sza mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} mu-hul
","receive  month uea   year AmarSuen the king Urbilum destroyed 
","receive month uea year AmarSuen the king Urbilum destroyed
"
"sza3 bala-a mu a-ra2 2(disz)-kam sza-asz-szu2-ru-um ba-hul
","part of the bala  year A 2nd time arum was destroyed 
","part of the bala year uunuri was destroyed
"
"6(asz) 1(ban2) gazi gur ba-ri2-ga 2(ban2) im-tur
","6 gur 1 ban2 sumac  the barig reduced by 2 ban2 
","6 gur 1 ban2 crushed sumac its barig 2 ban2
"
"1(iku) 1/4(iku) GAN2 2(asz) lu2-du10-ga 1(esze3) GAN2 4(barig) igi-husz
","1 14 iku field area 2 gur Luduga  1 ee3 field area 4 barig Igihu 
","1 14 iku field area 2 gur Luduga 1 ee3 field area 4 barig Igihu
"
"4(bur3) 2(esze3) 5(iku) GAN2 1(u)-ta sze-bi 1(gesz2) 9(asz) gur
","4 bur3 2 ee3 5 iku surface area at 1 each  its barley 69 gur 
","4 bur3 2 ee3 5 iku surface area at 1 each its barley 69 gur
"
"sza3 gir2-su{ki} i3-gal2 mu {gesz}gu-za {d}en-lil2-la2 ba-dim2
","in Girsu  are here  year The chair of Enlil was fashioned 
","in Girsu are here year The chair of Enlil was fashioned
"
"an-na-hi-li-bi kuruszda dumu {d}utu-ge6
","Anailibi  son of Utuge 
","sadur and agandul ditch From the water installation
"
"iti min3-esz3 u4 6(disz)-kam mu {d}szu-{d}suen lugal-e na-ru2-a-mah {d}en-lil2 {d}nin-lil2-ra mu-ne-du3
","month mine  6th day  year Suen the king the great stele for Enlil and Ninlil erected 
","month mine of the 6th day year uSuen the king Greatstele for Enlil and Ninlil erected
"
"nita kal-ga lugal uri5{ki}-ma lugal ki-en-gi ki-uri-ka-sze3
","the mighty man  king of Ur  and King of Sumer and Akkad 
","the mighty man king of Ur and king of Sumer and Akkad
"
"s,a-li 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2
","for alli  3 sila3 beer 2 sila3 bread 5 shekels onions 
","for alli 3 sila3 beer 2 sila3 bread 5 shekels onions
"
"2(disz) {munus}asz2-gar3 gub ... ($ blank space $) 1(u) la2 1(disz)
","2 female kids  subtotal 9 
","2 female kids subtotal 9
"
"lugal an-ub-da limmu2-ba li-bur-an-ne2-{d}suen sukkal nam-dumu
","king of the four corners  is your servant  is your servant 
","king of the four corners is your servant is your servant
"
"mu-kux(DU) la2-ia3 1(szar'u) 3(szar2) 4(gesz'u) 3(gesz2) 2(u) 7(asz) 3(barig) 2(ban2) gur
","delivery  the deficit 4947 gur 3 barig 2 ban2 
","delivery the deficit 4947 gur 3 barig 2 ban2
"
"mu {d}amar-{d}suen lugal u3 mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} mu-hul
","year AmarSuen is king and year AmarSuen the king Urbilum destroyed 
","year AmarSuen is king and AmarSuen the king Urbilum destroyed
"
"giri3 lugal-inim-gi-na n 2(disz) kun gu4
","via Lugalinimgina  n  2 tails of oxen 
","via Lugalinimgina n 2 tails of oxen
"
"sze-bi 4(u) 2(asz) 2(barig) gur a-sza3 ugur2-tur
","its barley 42 gur 2 barig  field Ururtur 
","its barley 42 gur 2 barig field Ugurtur
"
"u4 2(disz)-kam 1(disz) sila4 {d}en-lil2 1(disz) sila4 {d}nin-lil2
","2nd day  1 lamb for Enlil  1 lamb for Ninlil 
","2nd day 1 lamb for Enlil 1 lamb for Ninlil
"
"ugula ur-{d}szakkan kiszib3 ur-{d}szara2 mu en ga-esz{ki} ba-hun
","foreman Urakkan  sealed document of Urara  year The lord of Gae was installed 
","foreman Urakkan under seal of Urara year The highpriestess of Gae was installed
"
"6(disz) masz2-gal gun3-a 3(disz) masz2 8(gesz2) 6(disz) ud5
","6 fullgrown billy goats speckled  3 billy goats  486 nanny goats 
","6 buck speckled 3 billy goats 48 doe goats
"
"3(gesz'u) 3(gesz2) 5(u) geme2 u4 1(disz)-sze3
","23 female laborer days
","1884 days female laborer days
"
"sa2-du11 lugal ki a-hu-we-er-ta ba-zi
","sa2du11offerings of the king  out of the account of Auwer  booked 
","as rations of the king from Ahuwers account booked out
"
"5(disz) gu2 gir ma2 lugal 5(asz) gu2 gir murgu2 gur8
","5  of the royal barge  5  of the  
","5 of the royal barge 5 of the
"
"mu hu-uh2-nu-ri{ki} ba-hul {d}amar-{d}suen nita kal-ga
","year unuri was destroyed AmarSuen strong man
","year unuri was destroyed AmarSuen strong man
"
"lugal an-ub-da limmu2-ba wa-qar-tum nin9-a-ni
","king of the four quarters Waqartum his sister
","king of the four quarters Waqartum his sister
"
"szunigin 5(disz) {ansze}kunga2-munus szunigin 2(disz) dusu2-nita2
","total 5 female kequids total 2 jackasses
","total 5 female kequids total 2 jackasses
"
"giri3 ur-tum-al iti ezem-mah 2(u) 7(disz) udu ki na-ah-szum-bala
","via UrTummal  month Grand Festival  27 sheep with Naumbala 
","via UrTummal month Grand Festival 27 sheep with Naumbala
"
"kiszib3 nam-zi-tar-ra i3-dub ambar-sur-ra-ta giri3 ur-{d}nun-gal dumu ensi2
","under seal of Namzitara from the depot ambarsurra via UrNungal son of the governor
","under seal of Namzitara governorn of Kutha did UrNungal son of the governor
"
"1(u) gu2 gi 1(u) gu2 {gesz}ma-nu
","1 talents of reeds  1 talents of willow 
","1 talents of reeds 1 talents of willow
"
"iti u4 2(u) ba-zal ki na-lu5-ta
","of the month day 2 passed  from Nalus account 
","of the month day 2 passed from Nalus account
"
"a2-bi u4 1(szar2) 3(gesz'u) 9(gesz2) 4(u) 6(disz) 1(u) gin2
","its labor 5986 days 1 shekels 
","the labor involved 17314 shekels
"
"a2-bi u4 2(u) 5(disz) 1/2(disz) 3(gesz'u) 2(u) sar {u2}kiszi17 ku5-ra2 2(u) sar-ta
","its labor 25 12 days  182 sar acacia cut at 2 sar a day 
","its labor 25 12 days 182 sar acacia cut at 2 sar a day
"
"8(disz) gurusz u4 6(disz)-sze3 zi3 ma2-a si-ga
","8 laborers for 6 workdays flour in the barge loaded 
","8 male laborers for 6 workdays flour in the barge loaded
"
"zi-ga-am3 la2-ia3 2/3(disz) ma-na 7(disz) 1/2(disz) gin2 1(u) 7(disz) sze ku3
","booked out  the deficit 23 mana 7 12 shekels 17 grains silver 
","booked out the deficit 23 mana 7 12 shekels 17 grains of silver
"
"1(disz) sila4 e2-uz-ga mu-kux(DU) ARAD2-mu
","1 lamb  for the uzgahouse  delivery of ARADmu 
","1 lamb for the uzgahouse delivery of ARADmu
"
"sahar-bi 6(disz) sar 1(u) 6(disz) ninda gid2 1/2(disz) sar-ta
","its soil 6 sar  16 ninda long at 12 sar per ninda 
","its soil 6 sar 16 ninda long at 12 sar per ninda
"
"dingir-i3-zu 5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2
","for Dingirizu  5 sila3 beer 5 sila3 bread 5 shekels onions 
","for Dingirizu 5 sila3 beer 5 sila3 bread 5 shekels onions
"
"mu us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 bad3 mar-tu mu-ri-iq-ti-id-ni-im mu-du3-a
","year following uSuen king of Ur the Amorite wall called mriqtidnim erected 
","year following uSuen king of Ur the Amorite wall called mriqtidnim erected
"
"e2 lugal-igi u3 e2 ur-{d}utu mu
","the house of Lugaligi  and the house of UrUtu  year   
","the temple of Lugaligi and the temple of UrUtu year
"
"u3 mu dumu-munus lugal ensi2 an-sza-an-na ba-an-tuku
","and  year The princess to the governor of Anan was married 
","and year The princess to the governor of Nippur
"
"pisan-dub-ba im e2-tum u3 im didli en3-bi tar-re
","Basketoftablets   clay tablets in the house  and clay tablets singles enquiries 
","Basketoftablets clay tablets in the house and clay tablets singles enquiries
"
"1(disz) udu u2 a tu5-a ... {d}en-ki
","1 sheep grassfed cleansing   Enki 
","1 sheep grassfed cleansing Enki
"
"sag-nig2-gur11-ra-kam sza3-bi-ta 3(gesz'u) 1(gesz2) 5(u) 4(disz) a2 u4-du8-a geme2
","is the debit  Therefrom  1914 female laborer days labor of the free days of the female laborers 
","is the debit Therefrom 1914 female laborer days labor of the free days of the female laborers
"
"szunigin 1(bur3) 1(esze3) 2(iku) GAN2 1(u) la2 1/2(disz)-ta
","total 1 bur3 1 ee3 2 iku surface area at 1 less 12 each 
","total 1 bur3 1 ee3 2 iku surface area at 1 less 12 each
"
