,input,actual,predicted
1070,"{d}lal3-bur-du10-ga
","For Lalburduga 
","apple
"
1071,"ensi2 umma{ki} mu-kux(DU) a2-ki-ti sze-sag11-ku5-ka ...
","of the governor in Umma delivery for the Akitu in the month Harvest  
","The ruler of Umma delivery due to the path
"
1072,"1(disz) udu niga a-mur-dingir
","1 sheep barleyfed for Amuril 
","1 sheep grainfed for Guza
"
1073,"ur2-bi-a {uruda}gi2-dim ba-an-gar
","He set the gidim implement into its base 
","The great gidim implements of ie for use against its mother
"
1074,"ma2 szu du7-a
","a properly equipped boat 
","The boat bound in perfect for barges
"
1075,"...-mah
","ma
","Thus my power was exalted in the power
"
1076,"ki ur-ru-ta
","from Urru 
","from Urru
"
1077,"|GIN2.SZE3| be2-se3
","was defeated 
","he defeated
"
1078,"5(disz)
","Princely son emerged from the pure  spending time  his horn  
","Princely son emerged from the pure spending time his horn
"
1079,"n gin2 ku3-babbar al-la kuruszda uri5{ki}-ma
","n shekels silver from Alla fattener in Ur 
","n shekels silver from Alla fattener of Ur
"
1080,"ki-ag2 {d}en-lil2-la2
","beloved of Enlil
","beloved of Enlil
"
1081,"al mu-na-du3
","he dug for him 
","he dug for her
"
1082,"lugal-gu10 sza3-ga-ni im-si er2 gig ...
"," my kings heart was full of tears he  bitterly 
","My king its heart cried
"
1083,"i3-gal2
","are here 
","xxx
"
1084,"tug2 szu-du8-ur3
","a holding garment 
","They established the garment of Inab the storm
"
1085,"1(disz) ($ blank space $) PAP = %a a-sza-re-du
","62 lines in this column
","62 lines in this column
"
1086,"x ga2-e e-ne-ne-gin7 kin2-gi4-a gi4-gi4 in-nu-u3
"," I like them do not dispatch someone with a task like them 
","In order to admiresee the grain goddess Ezina of lordship
"
1087,"e2 ...
"," is a taboo of  a deity 
","house
"
1088,"i3-gal2
","are here 
","xxx
"
1089,"{d}nin-gir2-su2-ka
","of Ningirsu 
","of Ningirsu
"
1090,"sza3 ki-nu-nir{ki}
","xxx 
","xxx
"
1091,"sanga
","ang priest 
","temple administrator
"
1092,"tukum-bi gu4 udu ansze szah2 e2 |LAGABxU|-a iri-ka u2-gu ba-de2
","If an ox a sheep a donkey or a pig has been lost among the houses or in a wellpit of a city
","If oxen sheep used to see the cattle pen where sheep is no longer treated
"
1093,"3(u) 8(asz) ziz2 gur
","38 gur emmer 
","38 gur emmer
"
1094,"sag sahar-ra ki ba-ni-ib-u2-us2 lu2 zi-zi la-ba-tuku
","Their tops lay in the dust there was no one to raise them 
","Its top was lodged in the ground a person to raise it
"
1095,"KU-e dumu a2-gal-la-ke4
","Kue  the son of Agal 
","So that the upper short side
"
1096,"in-du3-a
","he who built  
","built
"
1097,"a ku3-ge-da naga sikil-e-da
","That he Kindazi might clean with water scrub with soap
","That the upper short side
"
1098,"8(disz) udu ...
","8 sheep  
","8 sheep 8 sheep
"
1099,"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 nin10-nu-du3 a-ra2 2(disz)-kam
"," workdays at the field Ninnudu the second 
","workdays at the field Ninnudu
"
1100,"min3-na-ne-ne
","The two of them
","apple
"
1101,"ki(SZE3)-a-nag-ba um-mi-gub-en me-te-asz ...
","After you stand in the place of libations for the dead you shall be established as something appropriate 
","The inheritance share of heaven for you
"
1102,"ARAD2-zu
","is your servant 
","is your servant
"
1103,"{gesz}alal-bi im-ma-ra-an-zil(NUN)-zil(NUN)
","He ripped out its drain pipes 
","to make the side tremble
"
1104,"{d}inanna
","For Inanna 
","To Inanna
"
1105,"3(u) 1(disz) geme2 3(ban2)-ta
","31 female workers 3 ban2  3 sila3 each 
","3 female workers 3 ban2 3 sila3 each
"
1106,"iti 1(disz)-kam
","of the 1st month
","xxx
"
1107,"gesztu2 dagal
","through his broad wisdom 
","the wide wisdom
"
1108,"alan-na-sze3
","and into this stone figure 
","and into this stone figure
"
1109,"GAN2-zu-am3 pu2 na-ni-... ug3-e szi-ri-ib-hul
","Do not construct a wellcistern in your field the people will destroy it for you 
","Do not dig a wellcistern in hate the people wailed
"
1110,"...-x ... at-ti
","You are  
","You are
"
1111,"{d}nin-hur-sag-ka-ma-ri2{ki}
","for NinursagKamari
","apple
"
1112,"dumu ur-e2-nun-na
","son of UrEnunna 
","son of Urenunna
"
1113,"u4 3(u) la2 1(disz)-kam
","the 29th day
","29th day
"
1114,"dug sza hu-la-lim
","a pot of chalcedony 
","Like a jug that knewlearned
"
1115,"e a-sza3 ugur2-tur a-sza3 la2-mah ba-a-si
","dikes of the field Ugurtur and the field Lama filled 
","field Ururtur
"
1116,"7(disz) geme2 a2 1/2(disz) 3(ban2)
","7 female laborers halflabor 3 ban2 monthly rations each 
","7 female laborers halflabor 3 ban2 monthly rations each
"
1117,"{d}ba-ba6
","of Baba 
","For Baba
"
1118,"dingir zi me gal-la sag-bi il2-la ...
","True deity with head held high amongst the great me  
","steadfast goddess of the great me whose head is raised
"
1119,"ne-ni-ib2-zu
","Nenibzu
","apple
"
1120,"mu-du3
","he built 
","he built
"
1121,"1(disz) ur-{d}ba-ba6 gaba-ta
","1 UrBaba  
","for 1 frontier
"
1122,"GUR8 i3-gu7
","I shall exploit as an interestbearing loan 
","I shall exploit as an interestbearing loan
"
1123,"ki-en-gi ki-uri
","of Sumer and Akkad 
","in Sumer and Akkad
"
1124,"e2-sar
","To the Esar temple
","to the Esar temple
"
1125,"{d}alad e2-zu igi bar lu2 sa6-... a2-zu ga2-la ...
","The look of the alad spirit of your temple betters a person  you arms are idleopen 
","May your guardian angel does not cease like a warrior
"
1126,"dumu ur-sag gal
","Property of Bluallim 
","son of the great champion
"
1127,"sag-dingir-tuku-sze3
","of Sagdingirtuku 
","apple
"
1128,"...-zi x ku3-ge mu2-a szu ba-e-lal-lal
","The gizi reed that grew in the holy  were actively diminished 
","was actively diminished it set in the holy gipar was actively diminished
"
1129,"sza13-dub-ba e2-gal an-ki-a kinx(UR4) kilib3-ba szid-szid
","Archivist of the palace of the universe counting up all of the tasks 
","archivist in the palace you are
"
1130,"{tu15}dal-ha-mun-na edin giri3 an-ta
","A tornadodust storm above ones path in the steppe 
","fallen from the plain founded for you
"
1131,"dumu-sag {d}en-lil2-la2
","firstborn son of Enlil 
","firstborn son of Enlil
"
1132,"7(disz) geme2 a2 1/2(disz) 3(ban2)
","7 female laborers halflabor 3 ban2 monthly rations each 
","7 female laborers halflabor 3 ban2 monthly rations each
"
1133,"i3-gal2
","are here 
","xxx
"
1134,"geszkim-mu ha-mu-u3-zu
","I will teach you my sign 
","may my sign in the plain
"
1135,"a-na bi2-in-ak-bi
","For what he had done there  
","In the side I saw it
"
1136,"iti {d}dumu-zi-sze3
","to month Dumuzi 
","xxx
"
1137,"gidri ug3 gur2-gur2
","and a scepter which makes the people bow down  
","seedbarley
"
1138,"me-te nam-en-na
","suited to the office of en priest 
","suited to the office of the en priest
"
1139,"u4 szuszin{ki}
","when Susa he
","when Susa
"
1140,"{d}en-lil2-le e2 zi gul-gul-lu-de3 lu2 zi tur-re-de3
","Enlil to destroy the loyal households to decimate the loyal men 
","Enlil in order for Enlil to destroy the true temple and diminish the true man
"
1141,"nam-si-sa2-ga2 gidri ma-an-szum2
","For my rectitude he gave me the scepter 
","Enlil has given strength to me
"
1142,"a-sza3-bi en-nam
","its surface area is what 
","to rebuild it
"
1143,"{d}iszkur en u4 husz ... u4 gal an-ki
","Ikur the lord the furious storm  great storm of heaven and earth  
","Ikur lord of heaven and earth
"
1144,"lu2 lu2-u3 za3 in-ne-...
","One has rejected the other cursed the other insulted the other 
","The man by whom the eye have been forgotten
"
1145,"ur zu x IGI IM x gi
","The temple that was remote in its being 
","the dogs RmSn who continually command
"
1146,"a-nu-zu
","Anuzu 
","apple
"
1147,"mu-du3
","he built 
","he built
"
1148,"sipa zi inim gi-na
","the righteous shepherd with just words 
","shepherd true words true word
"
1149,"mu-du2
","he had it formed 
","he formed it
"
1150,"dumu nin-gan
","daughter of Ningan 
","son of Snlei
"
1151,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
1152,"sahar gal-ta suhusz-bi
","and with much earth its foundation
","From its great heaven
"
1153,"lagasz{ki}-ka-sze3
","of Laga 
","of Laga
"
1154,"e2-udu-niga gir2-su{ki}
","house of fattened sheep of Girsu 
","house of Girsu
"
1155,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
1156,"... x ur-ra-ba
","Itsthe  of a dogstranger is  
","In order to admiresee the grain goddess Ezina of lordship
"
1157,"a-sza3-ta e11-da-bi
","xxx 
","from the Water
"
1158,"ki lu2-da nu-u6-di hasz2 gal mu-un-hur
","The place unseen when with a man she scratched her inner thigh 
","In private she lacerated her buttocks for her
"
1159,"e2 iri ku3-ga-ka-ni
","her temple of the Holy City 
","her temple of the Holy City
"
1160,"mu-ni-gi4
","he returned to him 
","and returned it to him
"
1161,"nam-ti-mu-sze3
","for my life 
","for my life
"
1162,"... dam-ni x ... x ...
","She tore out rushes she cut rushes 
","Ninlu
"
1163,"udu gukkal gub-ba
","sheep fattailed sheep stationed 
","xxx
"
1164,"... x-e dingir a-ba-a ...-gu10 mu-...
"," which god  
","Enlil who has commanded you like a god
"
1165,"gurum2-ak
","inspections 
","inspections
"
1166,"dub-sar
","scribe 
","scribe
"
1167,"... x-te ulu3{+lu}-da im-mi-dul
","I approached the shade but it was covered by lit along with a southern storm 
","donated by Lugalbi
"
1168,"u4-sakar gibil-gin7 men bi2-il2
","Raising the crown like the new moon 
","Why do they reckon us among those who have been forgotten
"
1169,"...-du3{muszen}-e {gi}dub-ba-an-na-ka buru5{muszen} szu ba-ni-ib-ti-...
","A falcon took a small bird at the reed fence 
","The upper short side of the sheep
"
1170,"ki szabra ...
","from the household manager 
","from household manager
"
1171,"... er2-am3 a-nir-am3
"," among tears and laments 
","So that the warehouses would be provisioned
"
1172,"esz3 dug-ru
","the shrine Dugru 
","the shrine Dugru
"
1173,"... me3-a nu-un-szub kur-re im-ma-an-dab5
","The site of manhood did not fell him in battle the netherworld seized him 
","In battle of battle has seized the nether world
"
1174,"u4 2(u) 3(disz) zal-la-ta
","the completed day 23 
","the completed day 23
"
1175,"szita2 an-na bala sa6-ga nu-kur2-...
","The udugita mace of Anheaven a good reign that will not change 
","no one should be changed to An ever again
"
1176,"ab-ba dingir-dingir-re2-ne-ke4
","father of all the gods 
","So that the upper short side
"
1177,"ARAD2 i-pi2-iq-{d}iszkur
","servant of IpiqAdad 
","servant of IpiqAdad
"
1178,"2(gesz2) 2(u) 9(disz) 1(disz) geme2 1(barig)-ta
","149 female workers 1 barig  6 sila3 each 
","141 female workers 1 barig 6 sila3 each
"
1179,"... husz {d}szul-gi-re nu-mu-un-dab5-ba
","The fierce enemy who Shulgi has not yet seized 
","The foremost one that Shulgi say suitable for heaven
"
1180,"nam-ti-la-ni-sze3
","and for his life 
","for his life
"
1181,"... nig2 U NI me-ri
","My birth motherfather  
","indeed the bolt
"
1182,"iri im-nigin2-nigin2
","he shall be paraded around the town
","to make the city tremble
"
1183,"lu2 ba-nigin-ne-...
","They surrounded the man they  the reservoir 
","The person that cuts off the path
"
1184,"ARAD2-zu
","is your servant
","is your servant
"
1185,"nu-banda3 ur-{d}gesz-bar-e3
","the overseer UrGebare
","the overseer UrGebare
"
1186,"...-ze2-en inim ga-mu-ri-ib-x-du11
","If you are a god I shall speak to you 
","You will live in the word
"
1187,"i3 ga-bi esz3 e2-ninnu-a musz nu-tum2-da
","might never cease to provide fat and milk for the sanctuary Eninnu
","People who did not know fine oil at its milk
"
1188,"nam-lu2-u18
","The population
","may the people
"
1189,"2(gesz2) 4(u) 4(disz) udu
","164 sheep 
","44 sheep
"
1190,"i-te-ru-ub
","did enter 
","apple
"
1191,"szunigin 2(szar2) 5(gesz'u) 8(gesz2) 3(u) 5(disz) geme2 u4 1(disz)-sze3
","total 1715 female laborer days 
","total 84 female laborer workdays
"
1192,"gu3-de2-a en {d}nin-gir2-su-ra
","Gudea before the lord Ningirsu
","to the lord Ningirsu Gudea
"
1193,"ki a-du-ta
","from ADU 
","from Adu
"
1194,"2(disz) u4-da-tusz
","2 jesters 
","2 jester
"
1195,"szunigin 3(u) 4(disz) dumu 1(disz) ma-na-ta
","total 34 children 1 mina each 
","total 34 children 1 mana each
"
1196,"lugal an-ub-da limmu2-ba
","and king of the four world quarters
","king of the four corners
"
1197,"dumu-ni-me
","being her children 
","being her children
"
1198,"3(ban2) sze-ta 2(disz) sila3 ninda-ta
","were each 3 ban barley 2 sila bread 
","3 ban2 2 sila3 bread 2 ban2 each
"
1199,"iri{ki} gul-gul-la-gin7 sahar na-x-x-...
","I will make the people hold dust as if they inhabited a destroyed city 
","So that the warehouses would be provisioned
"
1200,"ur-{d}nansze
","of UrNane 
","UrNane
"
1201,"e2-ninnu esz3 giri17-zal-la ...
","In my Eninnu temple a shrine filled with joy 
","In Eninnu the shrine of joy
"
1202,"lagasz{ki}
","of Laga 
","of Laga
"
1203,"lagasz{ki}
","of Laga
","of Laga
"
1204,"hur-sag {gesz}szu-ur2-me-ta
","from the cypress mountain 
","to make the mountain range tremble
"
1205,"gesz tesz2-tesz2-sze3 e-da-la2
","had previously fought with him 
","So that the upper short side
"
1206,"... x RI-RI
","If he did what is to me If he did not what is it to me 
","Distantremoteundulatingsprinkling at nighttime does not give to mananyone
"
1207,"u3 e2 {d}gesztin-an-na-ka
","and the temple of Getinana 
","and the temple of Getinana
"
1208,"ur-sag nam-tar-ra-bi sza3-bi nu-hul2
","The hero secretly was not happy with these promises 
","The hero avenged the path
"
1209,"mar-sa-a gub-ba ugu2 ur-e11-e ba-a-gar
","stationed in the boathouse booked into the debit section of Urees account 
","stationed at marsa
"
1210,"1(disz) ($ blank space $) |3xAN| = %a na-ba-t,u3-um
","62 lines in this column
","62 lines in this column
"
1211,"2(asz) sze gur
","xxx 
","2 gur barley
"
1212,"mu {d}asznan-kam ...-il-la-NE
","Shethey should praise the name of Ezina 
","to the year Simururm was destroyed
"
1213,"nig2-sa10-bi 4(asz) 1(barig) 3(ban2) sze gur
","its exchange value 4 gur 1 barig 3 ban2 barley 
","das Kaufpreis
"
1214,"isz ti bi za x isz-szu-u2
","month Plowing 
","covered with Balli
"
1215,"giriszx(|HIxASZ2|)
"," locust 
","apple
"
1216,"{na4}kiszib za-gin3 za3-bi ku3-sig17 u3 ba-da-ra ku3-me-a
","and a lapislazuli seal with a golden edge and a pin of refined silver 
","storeroom
"
1217,"i3-la2-e
","he shall pay
","he shall pay
"
1218,"szu-ni e-ma-ta-dab5-ba-a
","had grasped his hand 
","had grasped his hand
"
1219,"3(asz) 1(barig) 2(ban2) erin2 bala-gub-ba
","3 gur 1 barig 2 ban2 the worktroops performing the corve duty
","and 3 gur 1 barig 2 ban2 the worktroops performing the corve duty
"
1220,"dumu-ni-me
","being her children 
","being her children
"
1221,"ur-{d}li9-si4
","UrLisi 
","UrLisi
"
1222,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
1223,"mu-na-du3
","her built for her 
","he built for him
"
1224,"1(disz) udu niga sa2-du11
","1 sheep grainfed regular ration
","1 sheep grainfed regular offering
"
1225,"udu szakanka
","sheep of the market 
","marketplace
"
1226,"... |SIG7.ALAN|-bi mu-un-kur2
"," It distorted its appearance 
","It distorted its appearance
"
1227,"1(disz) masz2-gal
","1 billy goat full grown 
","1 buck
"
1228,"szunigin 1/2(disz) sila3 9(disz) gin2 i3
","together 12 sila 9 shekels of oil 
","total 12 sila3 9 shekels oil
"
1229,"uzu gesz gaba
","wood of the chest breastbone 
","chest with suckling chest
"
1230,"za3-an-na ...
","at the upper border  
","to make
"
1231,"tug2-szu-gur-ra men edin-na sag-ga2-na mu-un-gal2
","She has put a turban headgear for the open country on her head 
","open the turban headgear for the open country was firmly held her head
"
1232,"{d}nin-ki
","Ninki 
","Ninki
"
1233,"{d}inanna sag du-ga2
","my creating Itar 
","and Inanna coming from the underworld
"
1234,"1(disz) sila4 u2-u2-mu
","1 lamb from Uumu 
","1 lamb Lugalxda
"
1235,"dingir-ra-ni
","may his personal god 
","his personal god
"
1236,"ni2-tuku inim-ma si3-si3-ge dingir gal-gal-e-ne
","godfearing one subject to the word of the great gods   
","who reveres the great gods
"
1237,"{d}ba-ba6 dumu an-na an gal ki gal-ta
","Baba child of An in the great sky and on the great earth 
","Baba daughter of An
"
1238,"e-da-de6
","with Anedanumea brought 
","apple
"
1239,"2(gesz2) 3(u) udu niga 1(disz) 1/2(disz) sila3-ta
","15 sheep grainfed at 1 12 sila3 each 
","15 sheep grainfed at 1 12 sila3 each
"
1240,"{d}amar-{d}suen
","of AmarSuena 
","AmarSuena
"
1241,"gurum2 ak
","xxx 
","xxx
"
1242,"ARAD2-zu
","is your servant 
","is your servant
"
1243,"{gesz}al-a-ni a2 bulug2-ba a2-bi {na4}za-gin3-na-kam
","His hoe at the side of its chiselneedle its side is of lapis lazuli 
","57 lines
"
1244,"2(u) ninda gid2 1(u) gin2-ta
","2 ninda length at 1 volumeshekels per ninda 
","2 ninda length at 1 volumeshekels per ninda
"
1245,"1(barig) 1(ban2) 8(disz) 2/3(disz) sila3 gesztin had2
","1 barig 1 ban 8 23 sila of raisins
","1 barig 1 ban2 8 23 sila3 of raisins
"
1246,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
1247,"iti ezem-an-na
","month Festival of An 
","month Festival of An
"
1248,"2(disz) kusz szu-dulx(|URxA|) amar
","2 hides of calves yokes 
","2 hides of calf yokes
"
1249,"lagasz{ki}-ka-sze3
","of Laga 
","of Laga
"
1250,"i3-gal2
","are here 
","xxx
"
1251,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
1252,"er3-re-eb maszkim
","Erreb enforcer 
","zabardab was enforcer
"
1253,"...-NE
","For the god Ningizida
","IddinDagan king An decreed a great fate for you in an exalted place
"
1254,"nin-PESZ2{+sa-ra}
","turtle 
","apple
"
1255,"tibirx(|TAGxNE|)-ra bi2-ra
","did slap 
","He hit them
"
1256,"lugal larsa{ki}-ma
","the king of Larsa 
","king of Larsa
"
1257,"gu3-de2-a
","of Gudea 
","Gudea
"
1258,"szunigin 3(disz) gu4
","total 3 oxen 
","total 3 oxen
"
1259,"x x x a-pi4-sal4{ki} musz-bi-an-na
"," Apisal Mubiana 
","Mubiana and Apisal
"
1260,"ma-ha-zu-um{ki} ...
","Maazum   
","Maazum
"
1261,"nam-ti-mu-se3
","and for my life 
","apple
"
1262,"szul-gi
","ulgi 
","ulgi
"
1263,"1(esze3) 4(iku) 1/2(iku) GAN2 1(u)-ta
","2 ee3 4 12 iku surface area 1 each 
","1 ee3 4 12 iku surface area at 1 each
"
1264,"he2-...
","it did indeed produce
","of the god
"
1265,"wa-asz-bu lu2 1(disz)-e 1(barig) sze-ta
","were stationed per 1 man 1 barig of barley each 
","The upper short side
"
1266,"... kur {gesz}erin-na elam{ki} mar-ha-szi{ki} gu-ti-um{ki}
","The  of the Cedar Mountain Elam Marai Gutium
","The land of Elam and Elam Gutium Subartu
"
1267,"{d}inanna
","For Inanna 
","To Inanna
"
1268,"szar2-ra sahar-ra la-ba-an-da-szar2-re-esz
","Would multitudes not be smeared with dust 
","So that the upper short side
"
1269,"gu2-gu2-bi {u2}munzer lu2-a u2-lal3-e gu7-e
","Its banks are lush with licorice a honeysweet plant to eat
","On its banks are munzer grow at its banks
"
1270,"mu-na-diri
","he made it greater for her 
","he made it surpass
"
1271,"1(disz) 1/2(disz) kusz3 im-ma-zi
","has risen 1 12 cubits 
","and 1 12 for Aamugul
"
1272,"musz si gur3-ru
","snake with horns viper 
","twoheaded snake
"
1273,"lugal-a-ni-ir
","his master 
","his master
"
1274,"umanx(|HIxASZ2|) nisi
","vegetable pest 
","mealworm
"
1275,"3(disz) masz2 4(disz) ud5
","3 billy goats 4 nanny goats 
","3 billy goats 4 nanny goats
"
1276,"{d}szu-{d}suen
","Suen
","Suen
"
1277,"ir-da e2-...-ni-...
","Her house is a pigsty her inner room is a kiln 
","So that the flax of bread
"
1278,"{d}szu-{d}suen
","Suen
","Suen
"
1279,"... x-KA x-gin7 ... mu-un-x-...
","Gibil in the evening  
","In order to admiresee the grain goddess Ezina of lordship
"
1280,"mu-na-du3
","he built for her 
","he built for him
"
1281,"e pa5-re {d}utu e3-gin7 igi-bi mu-...
","Like the rising Utu the levees and ditches  
","May faithfully marvelsee like the risen sun
"
1282,"umbin-si-in mu-dur7 ba-ra-an-de6 kur-gar-ra-asz ba-an-dim2
","He removed some dirt from the tip of his fingernail and created the kurgar 
","He removed some dirt from the tip of his 2nd fingernail and created the galatur
"
1283,"... mu2-mu2
","Growing  
","to be
"
1284,"lugal ki-en-gi ki-uri-me-en
","and king of Sumer and Akkad 
","and king of Sumer and Akkad am I
"
1285,"nam uru2 hul-a-na mu-un-na-te er2 gig i3-sze8-sze8
","I approached him for the sake of his destroyed city  I weep bitterly 
","I approached him for the sake of his destroyed city I weep bitterly
"
1286,"a du10 ga2-ga2-de3
","to produce good water
","in order to establish
"
1287,"ki-be2 mu-na-gi4
","and restored it
","and restored for him
"
1288,"sza3 gar-sza-an-na{ki}
","in Garana 
","in Garana
"
1289,"gur11-gur11-ra-a
","goods 
","xxx
"
1290,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
1291,"4(u)
","4 
","4
"
1292,"dingir-ra-ne2
","who by his personal god 
","May his own god
"
1293,"a-sza3 ...
","field  
","field
"
1294,"nig2-gig-ga
","into a forbidden thing 
","to whom fighting is taboo
"
1295,"sza3 ba-an-sag3 ur5-ra-ni ba-usz2 inim gidlam-na-sze3
","felt distressed felt anxious At the words of his spouse 
","With the heart of Urdun died at the bow of sunrise
"
1296,"sig-sze3 lu2 nu x
","Below nobody  
","To the noise not
"
1297,"a2-sze szu-bi ha-lam ulutim2 ugu4-bi
","Adgarkidugs girlfriend speaks to her Now listen their hands are destructive and their features are those of monkeys
","Even now let the powers say suitable for forgotten
"
1298,"an-ub-da limmu2-ba he2-bi2-diri
","and within the four world quarters I truly made it preeminent
","Its height I made surpassing in the lands
"
1299,"ni2 szu-a gi4-gi4-de3 ra-ma-an-szu szu-lu-ma-am
","Sum So that he listens to Akk to wait for the word of the father and thus succeeds Akk repays himself 
","In order to make an aura grow for you
"
1300,"{gesz}mu10-us2 ...
","perforated wood 
","perforated wood
"
1301,"giri3 nig2-zi-zi zu2 bir9-bir9-ra
","Possessing feet that raise laughing 
","Those who had taken the path for you
"
1302,"{d}suen x ...
","Suen  
","Suen
"
1303,"nibru{ki} ma2 sze gid2-da
","Nippur barge of barley punted 
","to Nippur barge punted
"
1304,"me-bara2-abzu
","from Mebaraabzu
","apple
"
1305,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
1306,"ki ga-ba-tal
","with Gabatal 
","to make the place tremble
"
1307,"1(esze3) 3(iku) GAN2 gesz a-ra2 4(disz) 1(esze3) GAN2-ta
","1 ee3 3 iku field harrowing 4 times at 1 ee3 field a day 
","1 ee3 3 iku field harrowing 4 times at 1 ee3 field area a day
"
1308,"gu4:niga
","a kind of bat 
","apple
"
1309,"in-na-ab-szum2-mu
","shall be given to him
","apple
"
1310,"ki-ma-an-ze2-er lu2 kal-la nu-e-zu
","Slippery place you have not known a friend 
","A malicious spouse
"
1311,"amar-{d}suen lu2 tar-ra-ni sza3-bi nu-mu-un-zu-zu
","AmarSuen the one making the inquiry did not ascertain its contents 
","Ninkasi it is the man that have prepared the path for you
"
1312,"... irigal-la-ke4-ne
","the  of the underworld 
","In order to admiresee the grain goddess Ezina of lordship
"
1313,"dumu ki-en-gi ki-uri-ke4 igi bi2-duh-am3 igi i-ni-duh-am3 a-na-gin7 an-ak
","Did you see the citizens of Sumer and Akkad I saw them How are they treated 
","Did you see the son of Sumer and Akkad I saw him How is he treated
"
1314,"ug3 ma-da i-da-ma-ra-az-ka
","the people of the land of Idamaraz
","and the people of Idamaraz
"
1315,"udu a ak
","inseminated sheep 
","xxx
"
1316,"1(disz) lugal-ku3-zu dumu-ni
","1 diworker Lugalkuzu his son 
","1 diworker Lugalkuzu his son
"
1317,"a-a {d}en-lil2 nam mu-e-tar-ra |GA2xGAR| ba-ra-an-du8-du8
","O Father Enlil the fate that you have decreed cannot be explained 
","Father Enlil it is the fate that you decreed
"
1318,"{d}nin-gir2-su-ke4 URU-KA-gi-na-ra {an}anzu2{muszen}-gin7 a2 mu-ni-bad-re6
","Ningirsu spreads out his arms like the wings of the Anzu bird to Urukagina 
","The object named Ningirsu revealed to Urukagina the path
"
1319,"URU-KA-gi-na
","Urukagina 
","URUKAgina
"
1320,"mu2-du11-ga
","Incantation 
","apple
"
1321,"lu2 tur-mu ni2-te-ga2 dingir-ra mu-lu a nam-ti-la ...-ab-x-...
","My young man who has respect of the gods who drinks  the potion of life 
","The deliberations of the elders and juniors before the utterance
"
1322,"... nam-dub-sar-gin7 al-gig ga-na mu-ni-...
","Is as painstaking as the assigned task of the place of scribal art 
","So that the warehouses would be provisioned
"
1323,"{d}nin-gir2-su
","For Ningirsu 
","For Ningirsu
"
1324,"ensi2
","ruler 
","ruler
"
1325,"szar-ru-la-ba-sze3
","to arrulabba 
","apple
"
1326,"ug3-bi ug5-ge-de3 im-ma-an-ag2-esz-a-ba
","When they have ordered its people to be killed 
","When they have ordered its people to be killed
"
1327,"nu-mu-ni-tuku
","did he let him have 
","apple
"
1328,"lugal unu{ki}-ga
","king of Uruk 
","king of Uruk
"
1329,"mu lugal i3-gal2
","royal name entered 
","xxx
"
1330,"dumu nin-a2-ni-e3-a
","daughter of Ninaniea 
","son of Snlei
"
1331,"lugal |KI.LUGAL.GUB|-la he2-du7-bi kisal mah-e si-a
","The king ornament of the royal offering place occupies the august courtyard 
","The king that makes the ornament grow in the good courtyard
"
1332,"{d}nin-tin-ug5-ga
","For Nintinuga 
","to Nintinuga
"
1333,"ad-a-ni
","his father 
","his father
"
1334,"ku3-bi 6(disz) sze
","its silver 6 grains 
","its silver 6 grains
"
1335,"3(asz) 3(barig) 5(ban2) ga-szex(SIG7)-a gur
","3 gur 3 barig 5 ban2 yellowed milk 
","3 gur 3 barig 5 ban2 yellowed milk
"
1336,"{d}amar-{d}suen
","AmarSuen
","AmarSuena
"
1337,"musz3 nu-tum2-mu
","ceaseless provider 
","ceaseless provider
"
1338,"1(disz) sila4 {d}en-lil2
","1 lamb for Enlil 
","1 lamb for Enlil
"
1339,"dumu-sag {d}nansze
","first child of Nane 
","the firstborn child of Nane
"
1340,"u4-ba nam-lugal kalam-ma-ka szu pe-el-la2 ba-ab-du11
","In those days the kingship of the Land was defiled 
","At that time kingship of the nation
"
1341,"gun3-gun3 ...
","It is the case that I knew the exchanging of charming speech with the fingering of the luteharp 
","it has
"
1342,"nam mi-ni-ib-tar-re-ne
","determine the fates 
","to make the fate tremble
"
1343,"en-na sza3 ab-gin7 zi-ga-ni
","that the lords heart that rises like the sea
","May it shine for you in your heart
"
1344,"szunigin 2(szar2) 1(gesz'u) 7(gesz2) 1(u) gin2 gurusz u4 1(disz)-sze3
","Together 822 16 workdays male laborers 
","Total 88565 male laborer days
"
1345,"kiszib3 ur-{d}szara2
","under seal of Urara 
","under seal of Urara
"
1346,"{d}nin-men
","to Ninmen
","apple
"
1347,"5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2
","5 sila3 beer 5 sila3 bread 5 shekels onions 
","5 sila3 beer 5 sila3 bread 5 shekels garlic
"
1348,"{d}szul-gi
","ulgi 
","ulgi
"
1349,"sza3 gi4-me-a-gu10-ne-ka lu2-bi bi2-...
","Among my colleagues comparing with each man I conducted 
","Among my colleagues comparing with each Among there
"
1350,"e2-mu e2-ninnu an-ne2 ki gar-ra
","My house Eninnu founded by An 
","My house Eninnu founded a House
"
